   File                                           |   birch_mean  |  birch_var
   ./output/vt_bamm_tdbd/vt_0.1_0.1_-0.05.json | -152.85 |  0.00
    ./output/vt_bamm_tdbd/vt_0.1_0.1_-0.1.json | -163.62 |  0.00
 ./output/vt_bamm_tdbd/vt_0.1_0.1_0.00001.json | -143.90 |  0.00
    ./output/vt_bamm_tdbd/vt_0.1_0.1_0.05.json | -138.21 |  0.00
     ./output/vt_bamm_tdbd/vt_0.1_0.1_0.1.json | -138.04 |  0.01
   ./output/vt_bamm_tdbd/vt_0.1_0.5_-0.05.json | -156.12 |  0.00
    ./output/vt_bamm_tdbd/vt_0.1_0.5_-0.1.json | -167.49 |  0.00
 ./output/vt_bamm_tdbd/vt_0.1_0.5_0.00001.json | -146.48 |  0.00
    ./output/vt_bamm_tdbd/vt_0.1_0.5_0.05.json | -139.86 |  0.00
     ./output/vt_bamm_tdbd/vt_0.1_0.5_0.1.json | -138.58 |  0.01
   ./output/vt_bamm_tdbd/vt_0.3_0.1_-0.05.json | -137.60 |  0.00
    ./output/vt_bamm_tdbd/vt_0.3_0.1_-0.1.json | -142.82 |  0.00
 ./output/vt_bamm_tdbd/vt_0.3_0.1_0.00001.json | -138.10 |  0.01
    ./output/vt_bamm_tdbd/vt_0.3_0.1_0.05.json | -148.44 |  0.01
     ./output/vt_bamm_tdbd/vt_0.3_0.1_0.1.json | -175.55 |  0.01
   ./output/vt_bamm_tdbd/vt_0.3_0.5_-0.05.json | -140.57 |  0.01
    ./output/vt_bamm_tdbd/vt_0.3_0.5_-0.1.json | -148.91 |  0.00
 ./output/vt_bamm_tdbd/vt_0.3_0.5_0.00001.json | -137.48 |  0.01
    ./output/vt_bamm_tdbd/vt_0.3_0.5_0.05.json | -144.19 |  0.01
     ./output/vt_bamm_tdbd/vt_0.3_0.5_0.1.json | -168.21 |  0.01
     ./output/vt_bamm_tdbd/vt_1_0.1_-0.05.json | -158.12 |  0.02
      ./output/vt_bamm_tdbd/vt_1_0.1_-0.1.json | -143.15 |  0.00
   ./output/vt_bamm_tdbd/vt_1_0.1_0.00001.json | -192.75 |  0.01
