File                        |   mean   |  var  |   sbc-mean   |  sbc-var
./output/vt_ClaDS1_0.05.json | -145.670 | 0.027 | -145.317 | 0.020
./output/vt_ClaDS1_0.1.json | -143.001 | 0.012 | -142.529 | 0.016
./output/vt_ClaDS1_0.15.json | -141.859 | 0.022 | -141.325 | 0.016
./output/vt_ClaDS1_0.2.json | -141.199 | 0.038 | -140.586 | 0.039
./output/vt_ClaDS1_0.25.json | -140.753 | 0.008 | -140.160 | 0.012
./output/vt_ClaDS1_0.3.json | -140.628 | 0.018 | -140.018 | 0.010
./output/vt_ClaDS1_0.35.json | -140.495 | 0.028 | -139.850 | 0.036
./output/vt_ClaDS1_0.4.json | -140.482 | 0.034 | -139.841 | 0.030
./output/vt_ClaDS1_0.45.json | -140.540 | 0.043 | -139.850 | 0.022
./output/vt_ClaDS1_0.5.json | -140.518 | 0.027 | -139.856 | 0.046
./output/vt_ClaDS1_0.55.json | -140.438 | 0.057 | -139.706 | 0.101
./output/vt_ClaDS1_0.6.json | -140.502 | 0.080 | -139.888 | 0.062
./output/vt_ClaDS1_0.65.json | -140.504 | 0.049 | -139.761 | 0.073
./output/vt_ClaDS1_0.7.json | -140.634 | 0.077 | -139.939 | 0.058
./output/vt_ClaDS1_0.75.json | -140.707 | 0.083 | -140.037 | 0.038
./output/vt_ClaDS1_0.8.json | -140.779 | 0.033 | -140.053 | 0.036
./output/vt_ClaDS1_0.85.json | -140.889 | 0.087 | -140.114 | 0.066
./output/vt_ClaDS1_0.9.json | -140.982 | 0.153 | -140.248 | 0.087
./output/vt_ClaDS1_0.95.json | -141.083 | 0.081 | -140.263 | 0.052
./output/vt_ClaDS1_1.json | -141.107 | 0.054 | -140.347 | 0.055
