lambda	epsilon	analytical	DA            	SCM        
0.05	0	-157.0341	-157.0341	-157.0341
0.05	0.1	-157.4989	-157.4989	-157.4028
0.05	0.5	-159.4121	-159.4121	-158.9219
0.05	0.9	-161.4067	-161.4067	-160.5083
0.1	0	-143.3314	-143.3314	-143.3314
0.1	0.1	-143.903	-143.9029	-143.7552
0.1	0.5	-146.4641	-146.4641	-145.6823
0.1	0.9	-149.443	-149.4429	-147.9606
0.15	0	-138.2592	-138.2592	-138.2592
0.15	0.1	-138.7097	-138.7097	-138.5338
0.15	0.5	-141.1397	-141.1396	-140.1708
0.15	0.9	-144.5546	-144.5545	-142.6464
0.2	0	-136.7205	-136.7205	-136.7205
0.2	0.1	-136.8999	-136.8998	-136.7085
0.2	0.5	-138.6668	-138.6667	-137.573
0.2	0.9	-142.1565	-142.1564	-139.9179
0.25	0	-137.118	-137.1179	-137.118
0.25	0.1	-136.9242	-136.9242	-136.7242
0.25	0.5	-137.6421	-137.642	-136.4627
0.25	0.9	-140.9398	-140.9397	-138.4344
0.3	0	-138.7401	-138.74	-138.7401
0.3	0.1	-138.1023	-138.1022	-137.8975
0.3	0.5	-137.4795	-137.4794	-136.2404
0.3	0.9	-140.3733	-140.3731	-137.6465
0.35	0	-141.2073	-141.2073	-141.2073
0.35	0.1	-140.0748	-140.0747	-139.8674
0.35	0.5	-137.8851	-137.885	-136.604
0.35	0.9	-140.1984	-140.1983	-137.2844
0.4	0	-144.2931	-144.293	-144.2931
0.4	0.1	-142.6289	-142.6288	-142.42
0.4	0.5	-138.693	-138.6929	-137.3821
0.4	0.9	-140.2741	-140.274	-137.1992
0.45	0	-147.8514	-147.8513	-147.8514
0.45	0.1	-145.6279	-145.6277	-145.4182
0.45	0.5	-139.8016	-139.8015	-138.4695
0.45	0.9	-140.5172	-140.517	-137.3024
0.5	0	-151.7823	-151.7822	-151.7823
0.5	0.1	-148.9785	-148.9784	-148.7683
0.5	0.5	-141.1444	-141.1443	-139.7971
0.5	0.9	-140.8755	-140.8753	-137.538
0.55	0	-156.0148	-156.0146	-156.0148
0.55	0.1	-152.6142	-152.6141	-152.4038
0.55	0.5	-142.6758	-142.6757	-141.3176
0.55	0.9	-141.315	-141.3148	-137.869
0.6	0	-160.4962	-160.496	-160.4962
0.6	0.1	-156.486	-156.4858	-156.2755
0.6	0.5	-144.3629	-144.3627	-142.9968
0.6	0.9	-141.8127	-141.8125	-138.2701
0.65	0	-165.1866	-165.1864	-165.1866
0.65	0.1	-160.5563	-160.5561	-160.3457
0.65	0.5	-146.1812	-146.181	-144.8095
0.65	0.9	-142.3524	-142.3522	-138.7234
0.7	0	-170.0551	-170.0548	-170.0551
0.7	0.1	-164.7961	-164.7958	-164.5854
0.7	0.5	-148.1122	-148.112	-146.7364
0.7	0.9	-142.923	-142.9227	-139.2162
0.75	0	-175.0771	-175.0767	-175.0771
0.75	0.1	-169.1821	-169.1818	-168.9714
0.75	0.5	-150.141	-150.1408	-148.7623
0.75	0.9	-143.5159	-143.5157	-139.7389
0.8	0	-180.2327	-180.2321	-180.2327
0.8	0.1	-173.6957	-173.6952	-173.485
0.8	0.5	-152.256	-152.2558	-150.8752
0.8	0.9	-144.1252	-144.125	-140.2846
