File                                         |   birch_mean  |  birch_var
      ./output/vt_tdbd/vt_0.1_0.1_-0.05.json | -152.56 |  0.00
       ./output/vt_tdbd/vt_0.1_0.1_-0.1.json | -163.11 |  0.00
    ./output/vt_tdbd/vt_0.1_0.1_0.00001.json | -143.90 |  0.00
       ./output/vt_tdbd/vt_0.1_0.1_0.05.json | -138.35 |  0.00
        ./output/vt_tdbd/vt_0.1_0.1_0.1.json | -137.94 |  0.00
      ./output/vt_tdbd/vt_0.1_0.5_-0.05.json | -154.68 |  0.00
       ./output/vt_tdbd/vt_0.1_0.5_-0.1.json | -164.74 |  0.00
    ./output/vt_tdbd/vt_0.1_0.5_0.00001.json | -146.46 |  0.00
       ./output/vt_tdbd/vt_0.1_0.5_0.05.json | -140.93 |  0.00
        ./output/vt_tdbd/vt_0.1_0.5_0.1.json | -139.23 |  0.00
        ./output/vt_tdbd/vt_0.1_0_-0.05.json | -152.06 |  0.00
         ./output/vt_tdbd/vt_0.1_0_-0.1.json | -162.71 |  0.00
      ./output/vt_tdbd/vt_0.1_0_0.00001.json | -143.33 |  0.00
         ./output/vt_tdbd/vt_0.1_0_0.05.json | -137.87 |  0.00
          ./output/vt_tdbd/vt_0.1_0_0.1.json | -137.99 |  0.00
      ./output/vt_tdbd/vt_0.3_0.1_-0.05.json | -137.57 |  0.00
       ./output/vt_tdbd/vt_0.3_0.1_-0.1.json | -142.33 |  0.00
    ./output/vt_tdbd/vt_0.3_0.1_0.00001.json | -138.10 |  0.00
       ./output/vt_tdbd/vt_0.3_0.1_0.05.json | -147.45 |  0.00
        ./output/vt_tdbd/vt_0.3_0.1_0.1.json | -171.81 |  0.00
      ./output/vt_tdbd/vt_0.3_0.5_-0.05.json | -139.09 |  0.00
       ./output/vt_tdbd/vt_0.3_0.5_-0.1.json | -144.41 |  0.00
    ./output/vt_tdbd/vt_0.3_0.5_0.00001.json | -137.48 |  0.00
       ./output/vt_tdbd/vt_0.3_0.5_0.05.json | -141.26 |  0.00
        ./output/vt_tdbd/vt_0.3_0.5_0.1.json | -153.36 |  0.00
        ./output/vt_tdbd/vt_0.3_0_-0.05.json | -137.45 |  0.00
         ./output/vt_tdbd/vt_0.3_0_-0.1.json | -141.94 |  0.00
      ./output/vt_tdbd/vt_0.3_0_0.00001.json | -138.74 |  0.00
         ./output/vt_tdbd/vt_0.3_0_0.05.json | -149.82 |  0.00
          ./output/vt_tdbd/vt_0.3_0_0.1.json | -177.64 |  0.00
        ./output/vt_tdbd/vt_1_0.1_-0.05.json | -160.80 |  0.00
         ./output/vt_tdbd/vt_1_0.1_-0.1.json | -146.16 |  0.00
      ./output/vt_tdbd/vt_1_0.1_0.00001.json | -192.76 |  0.00
         ./output/vt_tdbd/vt_1_0.1_0.05.json | -253.99 |  0.00
          ./output/vt_tdbd/vt_1_0.1_0.1.json | -365.34 |  0.00
        ./output/vt_tdbd/vt_1_0.5_-0.05.json | -145.73 |  0.00
         ./output/vt_tdbd/vt_1_0.5_-0.1.json | -139.68 |  0.00
      ./output/vt_tdbd/vt_1_0.5_0.00001.json | -161.41 |  0.00
         ./output/vt_tdbd/vt_1_0.5_0.05.json | -193.01 |  0.00
          ./output/vt_tdbd/vt_1_0.5_0.1.json | -251.81 |  0.00
          ./output/vt_tdbd/vt_1_0_-0.05.json | -165.56 |  0.00
           ./output/vt_tdbd/vt_1_0_-0.1.json | -148.48 |  0.00
        ./output/vt_tdbd/vt_1_0_0.00001.json | -201.92 |  0.00
           ./output/vt_tdbd/vt_1_0_0.05.json | -270.87 |  0.00
            ./output/vt_tdbd/vt_1_0_0.1.json | -395.67 |  0.00
